remedy,symptoms,disease,potency,source
Pulsatilla,chronic eruptions; swelling; acne; itching; vesicular eruptions; eczema,hormonal,6X,synthetic materia medica
Mercurius Solubilis,dull skin; acne; vesicular eruptions; swelling; hormonal acne; burning,allergy,30C,synthetic materia medica
Sulphur,acne; cracked skin; vesicular eruptions; redness,chronic,Q,synthetic materia medica
Hepar Sulph,pimples; cracked skin; eczema; chronic eruptions; pigmentation; dull skin,hormonal,6X,synthetic materia medica
Kali Bromatum,allergic rash; redness; sensitive skin; facial eruptions; acne,chronic,6X,synthetic materia medica
Hepar Sulph,vesicular eruptions; chronic eruptions; pus formation,allergy,30C,synthetic materia medica
Sulphur,cracked skin; acne; sensitive skin,hormonal,200C,synthetic materia medica
Hepar Sulph,chronic eruptions; vesicular eruptions; rash,acute inflammation,6X,synthetic materia medica
Arsenicum Album,dull skin; acne; rash; allergic rash,general,6X,synthetic materia medica
Berberis Aquifolium,dull skin; burning; facial eruptions,allergy,Q,synthetic materia medica
Sulphur,sensitive skin; burning; swelling; facial eruptions; itching,general,30C,synthetic materia medica
Pulsatilla,redness; chronic eruptions; hormonal acne; rash,allergy,200C,synthetic materia medica
Mercurius Solubilis,hormonal acne; eczema; facial eruptions; swelling; sensitive skin,general,6X,synthetic materia medica
Hepar Sulph,pigmentation; hormonal acne; rash; chronic eruptions; pus formation; acne,hormonal,30C,synthetic materia medica
Sepia,facial eruptions; allergic rash; rash; swelling; cracked skin; sensitive skin,general,30C,synthetic materia medica
Nux Vomica,allergic rash; chronic eruptions; oily skin; facial eruptions; dull skin,acute inflammation,6X,synthetic materia medica
Hepar Sulph,swelling; acne; allergic rash; pimples; sensitive skin; redness,hormonal,6X,synthetic materia medica
Lycopodium,itching; hormonal acne; rash; chronic eruptions; dull skin; pimples,skin,Q,synthetic materia medica
Arsenicum Album,hormonal acne; facial eruptions; rash,chronic,Q,synthetic materia medica
Bryonia,redness; itching; pimples; hormonal acne; acne,allergy,6X,synthetic materia medica
Sulphur,pimples; facial eruptions; pigmentation,acute inflammation,30C,synthetic materia medica
Sulphur,vesicular eruptions; itching; rash; redness; allergic rash,chronic,30C,synthetic materia medica
Kali Bromatum,pus formation; allergic rash; pimples; oily skin; facial eruptions,allergy,Q,synthetic materia medica
Calcarea Sulph,pigmentation; itching; rash; redness,chronic,6X,synthetic materia medica
Silicea,chronic eruptions; facial eruptions; itching; swelling; allergic rash; pimples,hormonal,200C,synthetic materia medica
Arsenicum Album,dry skin; burning; chronic eruptions; oily skin; pus formation; hormonal acne,hormonal,6X,synthetic materia medica
Silicea,redness; pigmentation; sensitive skin; pus formation; facial eruptions,allergy,200C,synthetic materia medica
Natrum Muriaticum,pus formation; cracked skin; oily skin; rash,acute inflammation,Q,synthetic materia medica
Nux Vomica,burning; swelling; oily skin; eczema; cracked skin; chronic eruptions,chronic,200C,synthetic materia medica
Calcarea Sulph,oily skin; pigmentation; itching; burning; swelling,skin,6X,synthetic materia medica
Mercurius Solubilis,pimples; hormonal acne; acne; dry skin; redness; oily skin,hormonal,6X,synthetic materia medica
Sulphur,burning; redness; hormonal acne; acne; cracked skin,allergy,200C,synthetic materia medica
Mercurius Solubilis,oily skin; rash; swelling; dry skin,chronic,30C,synthetic materia medica
Thuja Occidentalis,eczema; cracked skin; hormonal acne,general,200C,synthetic materia medica
Mercurius Solubilis,pus formation; allergic rash; dry skin,allergy,6X,synthetic materia medica
Silicea,acne; cracked skin; oily skin; itching; rash,skin,6X,synthetic materia medica
Berberis Aquifolium,allergic rash; chronic eruptions; redness; pigmentation,chronic,Q,synthetic materia medica
Silicea,dry skin; chronic eruptions; swelling,allergy,6X,synthetic materia medica
Sepia,burning; oily skin; rash; acne; eczema; pigmentation,general,200C,synthetic materia medica
Hepar Sulph,acne; cracked skin; pimples; pus formation; swelling; chronic eruptions,chronic,200C,synthetic materia medica
Calcarea Sulph,itching; pimples; sensitive skin; acne; swelling,hormonal,30C,synthetic materia medica
